===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-11-21 15:11:31
count workspace : e:\workspace-on_the_way\sp.jicu.vip
total files : 144
total code lines : 6594
total comment lines : 240
total blank lines : 473

src\api\amap.js, code is 11, comment is 0, blank is 1.
src\api\commodity.js, code is 57, comment is 0, blank is 8.
src\api\discount.js, code is 22, comment is 0, blank is 3.
src\api\login.js, code is 28, comment is 0, blank is 3.
src\api\shop.js, code is 78, comment is 0, blank is 11.
src\App.vue, code is 10, comment is 0, blank is 1.
src\assets\401_images\401.gif, it is a binary file.
src\assets\404_images\404.png, it is a binary file.
src\assets\404_images\404_cloud.png, it is a binary file.
src\assets\custom-theme\fonts\element-icons.ttf, it is a binary file.
src\assets\custom-theme\fonts\element-icons.woff, it is a binary file.
src\assets\custom-theme\index.css, code is 1, comment is 0, blank is 0.
src\components\BackToTop\index.vue, code is 106, comment is 0, blank is 6.
src\components\Breadcrumb\index.vue, code is 51, comment is 0, blank is 3.
src\components\ErrorLog\index.vue, code is 73, comment is 0, blank is 4.
src\components\Hamburger\index.vue, code is 42, comment is 0, blank is 3.
src\components\LangSelect\index.vue, code is 37, comment is 0, blank is 4.
src\components\Screenfull\index.vue, code is 62, comment is 0, blank is 3.
src\components\ScrollPane\index.vue, code is 63, comment is 5, blank is 5.
src\components\Share\dropdownMenu.vue, code is 95, comment is 1, blank is 2.
src\components\SvgIcon\index.vue, code is 40, comment is 0, blank is 2.
src\components\ThemePicker\index.vue, code is 124, comment is 5, blank is 20.
src\components\UploadImage\uploadMultiple.vue, code is 111, comment is 2, blank is 10.
src\components\UploadImage\uploadOne.vue, code is 124, comment is 2, blank is 9.
src\directive\clipboard\clipboard.js, code is 47, comment is 3, blank is 1.
src\directive\clipboard\index.js, code is 10, comment is 1, blank is 3.
src\directive\el-dragDialog\drag.js, code is 56, comment is 7, blank is 14.
src\directive\el-dragDialog\index.js, code is 10, comment is 1, blank is 3.
src\directive\permission\index.js, code is 10, comment is 1, blank is 3.
src\directive\permission\permission.js, code is 18, comment is 0, blank is 5.
src\directive\sticky.js, code is 72, comment is 6, blank is 13.
src\directive\waves\index.js, code is 10, comment is 1, blank is 3.
src\directive\waves\waves.css, code is 25, comment is 0, blank is 1.
src\directive\waves\waves.js, code is 40, comment is 3, blank is 2.
src\errorLog.js, code is 13, comment is 5, blank is 3.
src\filters\index.js, code is 36, comment is 2, blank is 4.
src\icons\index.js, code is 6, comment is 2, blank is 2.
src\icons\svg\404.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\bug.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\chart.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\clipboard.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\commodity.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\component.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\dashboard.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\documentation.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\drag.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\edit.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\email.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\example.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\excel.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\eye.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\form.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\guide.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\icon.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\international.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\language.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\list.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\lock.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\message.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\money.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\nested.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\password.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\people.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\peoples.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\qq.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\shop.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\shoppingCard.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\star.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\tab.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\table.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\theme.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\tree.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\user.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\wechat.svg, code is 1, comment is 0, blank is 0.
src\icons\svg\zip.svg, code is 1, comment is 0, blank is 0.
src\lang\en.js, code is 152, comment is 0, blank is 0.
src\lang\index.js, code is 17, comment is 10, blank is 4.
src\lang\zh.js, code is 180, comment is 0, blank is 2.
src\main.js, code is 36, comment is 13, blank is 12.
src\mock\amap.js, code is 61, comment is 0, blank is 2.
src\mock\commodity.js, code is 57, comment is 0, blank is 10.
src\mock\index.js, code is 27, comment is 17, blank is 7.
src\mock\login.js, code is 51, comment is 1, blank is 3.
src\mock\shop.js, code is 257, comment is 0, blank is 12.
src\permission.js, code is 68, comment is 27, blank is 5.
src\router\index.js, code is 139, comment is 29, blank is 10.
src\store\getters.js, code is 20, comment is 0, blank is 0.
src\store\index.js, code is 20, comment is 0, blank is 3.
src\store\modules\app.js, code is 49, comment is 0, blank is 2.
src\store\modules\errorLog.js, code is 16, comment is 0, blank is 1.
src\store\modules\permission.js, code is 32, comment is 0, blank is 3.
src\store\modules\tagsView.js, code is 75, comment is 0, blank is 1.
src\store\modules\user.js, code is 115, comment is 6, blank is 8.
src\styles\btn.scss, code is 84, comment is 0, blank is 11.
src\styles\element-ui.scss, code is 99, comment is 6, blank is 14.
src\styles\index.scss, code is 162, comment is 2, blank is 29.
src\styles\mixin.scss, code is 56, comment is 0, blank is 4.
src\styles\sidebar.scss, code is 114, comment is 4, blank is 1.
src\styles\transition.scss, code is 35, comment is 4, blank is 8.
src\styles\variables.scss, code is 11, comment is 1, blank is 1.
src\utils\auth.js, code is 18, comment is 0, blank is 5.
src\utils\datetime.js, code is 6, comment is 0, blank is 0.
src\utils\i18n.js, code is 8, comment is 2, blank is 1.
src\utils\index.js, code is 57, comment is 4, blank is 5.
src\utils\openWindow.js, code is 12, comment is 9, blank is 5.
src\utils\permission.js, code is 17, comment is 5, blank is 4.
src\utils\qiniu.js, code is 39, comment is 0, blank is 9.
src\utils\request.js, code is 63, comment is 14, blank is 5.
src\utils\validate.js, code is 5, comment is 6, blank is 2.
src\views\commodity\create.vue, code is 107, comment is 0, blank is 6.
src\views\commodity\detail.vue, code is 64, comment is 0, blank is 4.
src\views\commodity\index.vue, code is 324, comment is 1, blank is 10.
src\views\dashboard\index.vue, code is 192, comment is 0, blank is 10.
src\views\documentation\index.vue, code is 45, comment is 0, blank is 2.
src\views\errorPage\401.vue, code is 87, comment is 0, blank is 3.
src\views\errorPage\404.vue, code is 233, comment is 0, blank is 3.
src\views\form\index.vue, code is 82, comment is 0, blank is 3.
src\views\guide\defineSteps.js, code is 51, comment is 0, blank is 1.
src\views\guide\index.vue, code is 32, comment is 2, blank is 2.
src\views\layout\components\AppMain.vue, code is 29, comment is 1, blank is 3.
src\views\layout\components\index.js, code is 4, comment is 0, blank is 0.
src\views\layout\components\Navbar.vue, code is 110, comment is 1, blank is 7.
src\views\layout\components\Sidebar\index.vue, code is 30, comment is 0, blank is 3.
src\views\layout\components\Sidebar\SidebarItem.vue, code is 82, comment is 2, blank is 8.
src\views\layout\components\TagsView.vue, code is 200, comment is 4, blank is 4.
src\views\layout\Layout.vue, code is 66, comment is 0, blank is 3.
src\views\layout\mixin\ResizeHandler.js, code is 38, comment is 0, blank is 3.
src\views\login\authredirect.vue, code is 10, comment is 0, blank is 0.
src\views\login\index.vue, code is 199, comment is 8, blank is 13.
src\views\login\socialsignin.vue, code is 65, comment is 0, blank is 3.
src\views\nested\menu1\index.vue, code is 7, comment is 0, blank is 0.
src\views\nested\menu1\menu1-1\index.vue, code is 7, comment is 0, blank is 0.
src\views\nested\menu1\menu1-2\index.vue, code is 7, comment is 0, blank is 0.
src\views\nested\menu1\menu1-2\menu1-2-1\index.vue, code is 5, comment is 0, blank is 0.
src\views\nested\menu1\menu1-2\menu1-2-2\index.vue, code is 5, comment is 0, blank is 0.
src\views\nested\menu1\menu1-3\index.vue, code is 5, comment is 0, blank is 0.
src\views\nested\menu2\index.vue, code is 5, comment is 0, blank is 0.
src\views\permission\components\SwitchRoles.vue, code is 29, comment is 0, blank is 1.
src\views\permission\directive.vue, code is 67, comment is 3, blank is 5.
src\views\permission\page.vue, code is 17, comment is 0, blank is 2.
src\views\shop\create.vue, code is 428, comment is 6, blank is 14.
src\views\shop\index.vue, code is 143, comment is 5, blank is 8.
src\views\table\index.vue, code is 70, comment is 0, blank is 2.
src\views\tree\index.vue, code is 65, comment is 0, blank is 6.
===============================================================================
